munid,name,found_url,found_date,snippet,trigger_keyword,category,keywords_detected
ADMASTON BROMLEY TP,ADMASTON BROMLEY,https://admastonbromley.com/wp-content/uploads/2025/12/2026-01-05-Resume-Planning-Committee-Agenda-Complete-Agenda-Reduced.pdf,2026-05-25,"...noise abatement measures have been undertaken to ensure that noise levels at the boundary of the residential zone do not create a nuisance for uses in that abutting residential zone. 3.4 Backyard Chickens / Urban Agriculture 3.4.1 The keeping of backyard chickens shall be permitted as an accessory use to a dwelling unit, provided a Backyard Chicken Permit is obtained. For the purposes of this...",Backyard Chickens,CHICKENS,True
ARRAN ELDERSLIE M,ARRAN ELDERSLIE,https://www.arran-elderslie.ca/media/q0upxiuc/april-12-2021-council-minutes.pdf,2026-05-25,"...People’s Health and Our Economy 8.2.6 – SMART Approved Meeting Minutes – January 22, 2021 8.2.7 - MPAC - changes to Ontario Regulation 244/97 under the Aggregate Resources Act (ARA) 8.2.8 – Backyard Chickens – James Miller 8.2.9 – Bruce and Grey Counties Move to Action on Safety and Well-Being 8.2.10 - MPP Walker announces $60,000 Inclusive Community Grant for Grey County Subsequent to further...",Backyard Chickens,CHICKENS,True
BANCROFT TP,BANCROFT,https://www.bancroft.ca/UserFiles/Servers/Server_12235685/Image/Business/Clerk/2025-83 SCHEDULE OF FEES (002).pdf,2026-05-25,"...visits Fence-viewers Remuneration $ 100.00 per hour N Ontario Land Surveyor Deposit As per estimate N Ontario Land Surveyor Fee As per invoice N Legal Fees As per invoice N Appeal to Referee As per Line Fences Act N “The following fees are subject to HST, unless stated otherwise”. SCHEDULE OF FEES Effective January 1, 2026 SCHEDULE F – FINANCE DEPARTMENT HST Returned Items NSF, Stop Payment, Account $40.00 N...",Line Fences Act,FENCES,True
BLANDFORD BLENHEIM TP,BLANDFORD BLENHEIM,https://pub-blandfordblenheim.escribemeetings.com/FileStream.ashx?DocumentId=1186,2026-05-25,"TOWNSHIP OF BLANDFORD-BLENHEIM COUNCIL MEETING AGENDA Wednesday, April 15, 2026 at 04:00 PM Watch via Live Stream on Township’s YouTube here 1. Welcome 2. Call to Order 3. Approval of the Agenda Recommendation: That the Agenda for April 15, 2026 Regular Meeting of Council be adopted as printed, and circulated. 4. Disclosure of Pecuniary Interest 5. Minutes 5.a April 1, 2026 Minutes of Council Reco",Development Charges Background Study,DC,True
BRUDENELL LYNDOCH AND RAGLAN TP,BRUDENELL LYNDOCH AND RAGLAN,https://blrtownship.ca/wp-content/uploads/2026/04/April-9th-2026-Special-Meeting.pdf,2026-05-25,"...as an accessory building in the Rural, Commercial or Industrial zones (only RU, Comm or Ind), subject to specific location and screening requirements. [Section 3.2.9] v. New general provisions for backyard chickens. The keeping of chicken are permitted as an accessory use to a dwelling unit. The location of the chicken coop shall comply with the setbacks for accessory buildings as specified in the by-law...",Backyard Chickens,CHICKENS,True
CRAMAHE TP,CRAMAHE TP,https://pub-cramahe.escribemeetings.com/FileStream.ashx?DocumentId=33025,2026-05-25,"...when available. 2. Proposed Changes to the Parkland Dedication Framework 2.1 Proposed Changes to the Planning Act 2.1.1 Legislative Amendments Type of Land Eligible for Dedication In 2022, Bill 23 (More Homes Built Faster Act) introduced amendments to section 42 of the Planning Act that would provide that certain lands may be required to be accepted as part of parkland dedication requirements. These changes are included...",More Homes Built Faster Act,DC,True
FORT ERIE TP,FORT ERIE TP,https://pub-forterie.escribemeetings.com/FileStream.ashx?DocumentId=35553,2026-05-25,"...(a) or (b) was approved. 2022, c. 21, Sched. 9, s. 12 (6). Transition (2.5) Subsection (2.1) does not apply in the case of an application made before the day subsection 12 (6) of Schedule 9 to the More Homes Built Faster Act, 2022 comes into force. 2022, c. 21, Sched. 9, s. 12 (6). Alternative requirement (3) Subject to subsection (4), as an alternative to requiring the conveyance provided for in subsection (1), in the...",More Homes Built Faster Act,DC,True
FRENCH RIVER M,FRENCH RIVER M,https://frenchriver.ca/p/council-minutes-agendas#downloadOurApp,2026-05-25,"...1, Noelville Ontario (705) 898-2294 Info@frenchriver.ca En glish Fr ançais Menu Main Navigation Close Navigation Close Navigation Governance By-Laws Draft Public Spaces By-law Have Your Say on Backyard Hens Responsible Animal Ownership Short-Term Rental Accommodations Committees and Boards Strong Mayor Powers 2026 Municipal Elections 2026 Unofficial List of Candidates Sudbury East OPP Detachment Board...",Backyard Hens,CHICKENS,True
GEORGIAN BAY TP,Georgian Bay,https://georgianbay.civicweb.net/document/238947,2026-05-25,"...replacement of the Mrs. C playground and staff are engaging the community with a preferred playground design. Council also approved dog parks for MacTier, Port Severn, and Honey Harbour under the development charges background study. Analysis and Options Staff learned on September 12, 2025, that the MacTier Community Development Committee (MCDC) wished to re-engage and regroup and would like to be the lead on this community...",Development Charges Background Study,DC,True
JAMES TP,JAMES,https://elklake.ca/vertical/sites/%7B698232A1-8BB9-4776-8A5C-60DC366E3EE9%7D/uploads/Dec11-24_Agenda.pdf,2026-05-25,"...07-24: Selection of candidate to serve on Northeastern Public Health Unit Board of Health. 7. New Business: 1. Robert Manseau, Circular Carbon: Requesting support for a feasibility study. 2. MMAH: ‘More Homes Built Faster Act, 2022’ information. 3. OCWA: Proposed 2025 Water Treatment Plant Budget. Pat Roy will attend the January 8th/25 Regular Council Meeting to discuss the budget. 8. Correspondence: 1. OCWA: July...",More Homes Built Faster Act,DC,True
