munid,name,found_url,found_date,snippet,trigger_keyword,category,keywords_detected
ADDINGTON HIGHLANDS TP,ADDINGTON HIGHLANDS,https://addingtonhighlands.civicweb.net/document/79653,2026-02-03,"Council of the Township of Addington Highlands Regular Meeting Minutes Meeting held – November 18, 2025 Meeting Room - Addington Highlands Community Centre - Denbigh 1:00 PM Present: Deputy Reeve Fritsch Councillor Thompson Councillor Hook Councillor Yanch Absent: Also Present: Christine Reed, CAO/C",Council,CHICKENS,True
ADJALA TOSORONTIO TP,ADJALA TOSORONTIO,https://adjala-tosorontio.civicweb.net/document/62292/,2026-02-03,"Township of Adjala-Tosorontio Regular Council Meeting Agenda Wednesday, June 11, 2025 at 5:30 PM Council Chamber Please be advised that the Township of Adjala-Tosorontio Council Meetings allow for both in person and electronic participation in accordance with section 5 of the Procedure By-law. Resid",Council,CHICKENS,True
AJAX TP,AJAX,https://events.ajax.ca/Meetings/Detail/2025-09-15-1300-Council-Meeting,2026-02-03,"<!DOCTYPE html>  <html lang=""en""> <head>     <!-- Google Tag Manager -->     <script>         (function (w, d, s, l, i) {             w[l] = w[l] || []; w[l].push({                 'gtm.start':                     new Date().getTime(), event: 'gtm.js'             }); var f = d.getElementsB",Community Benefits Charge,DC,True
ALBERTON TP,ALBERTON,https://alberton.ca/township-council/,2026-02-03,"<!DOCTYPE html> <html lang=""en-CA""> <head> 	<meta charset=""UTF-8"" /> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> 	<link rel=""pingback"" href=""https://alberton.ca/xmlrpc.php"" />  	<script type=""text/javascript""> 		document.documentElement.className = 'js'; 	</script> 	 	<title>Council Agenda",Council,CHICKENS,True
ALGONQUIN HIGHLANDS TP,ALGONQUIN HIGHLANDS,https://algonquinhighlands.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-US"" xml:lang=""en-US""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Township of Algonquin Highlands - Home </titl",Council,CHICKENS,True
ALNWICK HALDIMAND TP,ALNWICK HALDIMAND,https://alnwickhaldimand.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Alnwick/Haldimand - Home </title><meta http-e",Council,CHICKENS,True
AMARANTH TP,AMARANTH,https://pub-amaranth.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
ARNPRIOR TP,ARNPRIOR,https://calendar.arnprior.ca/?_mid_=10085,2026-02-03,"<!DOCTYPE html>  <html lang=""en""> <head>     <!-- Google Tag Manager -->     <script>         (function (w, d, s, l, i) {             w[l] = w[l] || []; w[l].push({                 'gtm.start':                     new Date().getTime(), event: 'gtm.js'             }); var f = d.getElementsB",Council,CHICKENS,True
ARRAN ELDERSLIE M,ARRAN ELDERSLIE,https://pub-arranelderslie.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
ASPHODEL NORWOOD TP,ASPHODEL NORWOOD,https://asphodelnorwood.com/council/minutes-agendas/,2026-02-03,"<!DOCTYPE html> <html dir=""ltr"" lang=""en"" class=""no-js usn""> <head>             <!-- Google Analytics -->         <link rel=""dns-prefetch"" href=""//www.google-analytics.com"">      <!-- Google Fonts --> <link rel=""dns-prefetch"" href=""//fonts.googleapis.com""> <link rel=""preconnect"" href=""//fonts.",Council,CHICKENS,True
