munid,municipality_name,tier,portal_type,council_listing_url,minutes_listing_url,agenda_listing_url,example_recent_minutes_url,example_recent_minutes_date,example_upcoming_agenda_url,example_upcoming_agenda_date,minutes_format,agenda_format,notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
CENTRAL MANITOULIN M,CENTRAL MANITOULIN M,Lower,other_unknown,https://www.centralmanitoulin.ca/our-government/council/agendas-and-minutes/,https://www.centralmanitoulin.ca/our-government/council/agendas-and-minutes/,,https://www.centralmanitoulin.ca/media/xirlffaq/council_agenda_2023_09_18.pdf,2026-05-28,https://www.centralmanitoulin.ca/media/xirlffaq/council_agenda_2023_09_18.pdf,2023-09-18,PDF,PDF,Recent docs dated 2023,,,,,,,
CENTRE HASTINGS M,CENTRE HASTINGS M,Lower,civicweb,https://centrehastings.civicweb.net/Portal/,https://stclair.civicweb.net/Portal/,,https://stclair.civicweb.net/Portal/,,,,,HTML,HTML,JS required,,,,,,
CHAMBERLAIN TP,CHAMBERLAIN TP,Lower,NOT_FOUND,https://www.chamberlaintownship.com/,https://www.chamberlain.com/ca,,https://www.chamberlain.com/ca,,,,,HTML,HTML,Website under construction,,,,,,
CHAMPLAIN TP,CHAMPLAIN TP,Lower,escribe,https://pub-champlain.escribemeetings.com/,https://pub-champlain.escribemeetings.com/,,https://pub-champlain.escribemeetings.com:443/FileStream.ashx?DocumentId=13823,2026-06-01,https://pub-champlain.escribemeetings.com/Meeting.aspx?Id=95a51c89-4ecd-40ab-b941-07cd7f4bdd55&Agenda=Agenda&lang=English,2025-10-22,HTML,HTML,JS required,,,,,,,
CHAPLEAU TP,CHAPLEAU TP,Lower,custom_html_pdf,https://chapleau.ca/township/administration/council-agenda-minutes/,https://www.chapleau.ca/township/administration/council-agenda-minutes/,,https://www.chapleau.ca/UploadedFiles/files/2026%20Schedule%20of%20Regular%20Meetings%20of%20Council%2C%20Office%20Hours%20and%20closings.pdf,2026-05-28,,,,PDF,PDF,,,,,,,
CHAPPLE TP,CHAPPLE TP,Lower,civicweb,https://chapple.civicweb.net/Portal/,https://chapple.civicweb.net/Portal/,,https://chapple.civicweb.net/filepro/documents/4239,2026-05-07,,,,HTML,HTML,JS required,,,,,,
CHARLTON AND DACK M,CHARLTON AND DACK M,Lower,custom_html_pdf,http://www.charltonanddack.com/council,https://www.charltonafc.com/,,https://cdn.charltonafc.com/sites/default/files/2026-03/2026%3A27%20Season%20Ticket%20FAQs.pdf,2026-05-28,,,,HTML,HTML,No recent documents found,,,,,,
CHATHAM KENT M,CHATHAM KENT M,Single,escribe,https://pub-chatham-kent.escribemeetings.com/,https://www.chatham-kent.ca/localgovernment/council/meetings/Pages/Council-Meetings.aspx,,https://www.chatham-kent.ca/services/digitalresources/Documents/End of Life Computer Request Form 2019 Accessible.pdf,2026-05-28,https://pub-chatham-kent.escribemeetings.com/Meeting.aspx?Id=83633a45-4153-4ff4-a28d-d5a6014c5f63&Agenda=Agenda&lang=English,2024-05-27,HTML,HTML,JS required,,,,,,,
CHATSWORTH TP,CHATSWORTH TP,Lower,custom_html_pdf,https://chatsworth.ca/government/agendas-and-minutes/,,,https://chatsworth.ca/wp-content/uploads/2025/08/16-May-3-2023-1.pdf,2023-05-03,https://chatsworth.ca/wp-content/uploads/2025/08/18-June-7-2023.pdf,2023-06-07,PDF,PDF,Recent docs dated 2023,,,,,,,
CHISHOLM TP,CHISHOLM TP,Lower,custom_html_pdf,https://chisholm.ca/en/your-government/meetings-agendas,https://www.chisholm.ca/en/your-government/meetings-agendas,https://chisholm.ca/en/your-government/meetings-agendas,"https://www.chisholm.ca/uploads/Agenda Package - May 6, 2026.pdf",2026-05-28,https://chisholm.ca/en/your-government/meetings-agendas/show/show/regular-council-meeting-2025-11-25,2025-11-25,PDF,HTML,Dates in snippets indicate 2025 meetings planned,,,,,,,
CLARENCE ROCKLAND C,CLARENCE ROCKLAND C,Lower,custom_html_pdf,https://www.clarence-rockland.com/en/city-hall/municipal-council/municipal-council-committee-meeting-calendar,https://www.clarence-rockland.com/en/city-hall/council/meetings-minutes/municipal-council,https://www.clarence-rockland.com/en/city-hall/municipal-council/municipal-council-committee-meeting-calendar,https://cr-pub.escribemeetings.com/FileStream.ashx?DocumentId=15277,2026-05-28,https://www.clarence-rockland.com/en/city-hall/council/meetings-minutes/council-regular-meeting-10-dec-2025,2025-12-10,,HTML,Calendar-based portal,,,,,,,
CLARINGTON M,CLARINGTON M,Lower,escribe,https://pub-clarington.escribemeetings.com/meetingscalendarview.aspx,https://pub-clarington.escribemeetings.com/meetingscalendarview.aspx,https://pub-clarington.escribemeetings.com/meetingscalendarview.aspx,https://pub-clarington.escribemeetings.com/FileStream.ashx?DocumentId=63585,2026-05-28,https://pub-clarington.escribemeetings.com/meetingscalendarview.aspx,2025-12-15,PDF,HTML,eSCRIBE portal; JS required,,,,,,,
CLEARVIEW TP,CLEARVIEW TP,Lower,custom_html_pdf,https://www.clearview.ca/government-committees/council/agenda-minutes,https://www.clearview.ca/government-committees/council/agenda-minutes,https://www.clearview.ca/government-committees/council/agenda-minutes,https://www.clearview.ca/government-committees/council/agenda-minutes,2026-06-04,,,PDF,,Drupal CMS,,,,,,,
COBALT TP,COBALT TP,Lower,custom_html_pdf,https://cobalt.ca/residents/mayor-council/,https://cobalt.ca/residents/mayor-council/,https://cobalt.ca/residents/mayor-council/,https://cobalt.ca/wp-content/uploads/2026/05/Agenda-Package-MAy-262026-Public.pdf,2026-05-28,https://cobalt.ca/wp-content/uploads/2025/12/Agenda-Special-Meeting-December-16-2025.pdf,2025-12-16,PDF,PDF,WordPress site,,,,,,,
COBOURG TP,COBOURG TP,Lower,escribe,https://pub-cobourg.escribemeetings.com/,https://www.cobourg.ca/our-government/mayor-council/council-meetings/,https://pub-cobourg.escribemeetings.com/,https://www.cobourg.ca/media/f12f5iia/request-form-for-closed-meeting-investigation.pdf,2026-05-28,https://pub-cobourg.escribemeetings.com/,2025-12-17,,HTML,eSCRIBE portal; JS required,,,,,,,
COCHRANE TP,COCHRANE TP,Lower,custom_html_pdf,https://cochraneontario.com/town-hall/council-meetings/,https://www.cochrane.ca/government/council/council-meetings,https://cochraneontario.com/town-hall/council-meetings/,https://www.cochrane.ca/sites/default/files/2026-05/Regular%20Council%20Meeting%20Highlights%20-%20May%2019%2C%202026.pdf,2026-05-28,,,2025-12-09,,HTML,Website mentions iCompass but primary is Custom,,,,,,
COCKBURN ISLAND TP,COCKBURN ISLAND TP,Lower,custom_html_pdf,https://cockburnisland.ca/council.php,https://cockburnisland.ca/council.php,https://cockburnisland.ca/council.php,https://cockburnisland.ca/docs/2026/FinancialStatement_2024.pdf,2026-05-28,,,PDF,,Simple HTML table,,,,,,,
COLEMAN TP,COLEMAN TP,Lower,custom_html_pdf,https://colemantownship.ca/municipal-services/council/,https://ombudsman-ontario.prod.opwebops.dev/en/our-work/municipal-meetings/township-coleman-march-25-2026,https://colemantownship.ca/municipal-services/council/,https://ombudsman-ontario.prod.opwebops.dev/sites/default/files/documents/Ombudsman%20Ontario-Coleman-March%202026-Report-accessible.pdf,2026-05-28,,,,PDF,,Verified domain colemantownship.ca,,,,,,
COLLINGWOOD TP,COLLINGWOOD TP,Lower,escribe,https://pub-collingwood.escribemeetings.com/,https://pub-collingwood.escribemeetings.com/,https://pub-collingwood.escribemeetings.com/,https://pub-collingwood.escribemeetings.com/FileStream.ashx?DocumentId=9829,2026-05-28,https://pub-collingwood.escribemeetings.com/Meeting.aspx?Id=be77a4c4-5f4a-4bc9-b4d1-164d62517f3e&lang=English,2025-12-08,,HTML,eSCRIBE portal; JS required,,,,,,,
CONMEE TP,CONMEE TP,Lower,custom_html_pdf,https://www.conmee.com/p/meetings,https://www.conmee.com/p/meetings,https://www.conmee.com/p/meetings,https://www.conmee.com/Home/DownloadMeeting/b57f4572-48a0-4208-aae9-a3f409b37234?isEnglish=True,2026-05-28,https://www.conmee.com/p/meetings,2025-10-28,,HTML,All-Net Municipal Solutions,,,,,,,
CORNWALL C,CORNWALL C,Lower,custom_html_pdf,https://www.cornwall.ca/en/city-hall/council-meetings.aspx,https://www.cornwall.ca/en/city-hall/council-meetings.aspx,https://www.cornwall.ca/en/city-hall/council-meetings.aspx,https://choosecornwall.ca/wp-content/uploads/2018/06/Cornwall-Business-Directory.pdf,2026-05-28,,,2025-12-08,,HTML,Embedded calendar,,,,,,
CRAMAHE TP,CRAMAHE TP,Lower,escribe,https://pub-cramahe.escribemeetings.com/,https://pub-cramahe.escribemeetings.com/,https://pub-cramahe.escribemeetings.com/,https://pub-cramahe.escribemeetings.com/FileStream.ashx?DocumentId=33424,2026-06-04,https://pub-cramahe.escribemeetings.com/Meeting.aspx?Id=2fa3d262-5374-412c-a9e4-39c57570d38f&Agenda=Agenda&lang=English,2025-12-18,,HTML,eSCRIBE portal; JS required,,,,,,,
DAWN EUPHEMIA TP,DAWN EUPHEMIA TP,Lower,custom_html_pdf,https://dawneuphemia.ca/council-committees/council-meeting-agendas-and-minutes/,https://dawneuphemia.ca/council-committees/council-meeting-agendas-and-minutes/,https://dawneuphemia.ca/council-committees/council-meeting-agendas-and-minutes/,https://dawneuphemia.ca/wp-content/uploads/2025/10/Council-Meetings-2026.pdf,2026-05-28,https://dawneuphemia.ca/council-committees/council-meeting-agendas-and-minutes/,2025-12-15,PDF,HTML,,,,,,,,
DAWSON TP,DAWSON TP,Lower,custom_html_pdf,https://www.dawsontownship.ca/council-administration/council-minutes-zoning-documents/,https://www.dawsontownship.ca/council-administration/council-minutes-zoning-documents/,https://www.dawsontownship.ca/council-administration/council-minutes-zoning-documents/,https://www.dawsontownship.ca/wp-content/uploads/2023/02/dawson_council_minutes_may_2_2012-1.pdf,2026-05-28,,,PDF,,,,,,,,,
DEEP RIVER TP,DEEP RIVER TP,Lower,custom_html_pdf,https://www.deepriver.ca/town-hall/minutes-agendas/,https://deepriver.civicweb.net/Portal/,https://www.deepriver.ca/town-hall/minutes-agendas/,https://deepriver.civicweb.net/filepro/documents/32369,2026-05-07,,,2025-12-16,,HTML,,,,,,,
DESERONTO TP,DESERONTO TP,Lower,custom_html_pdf,https://www.deseronto.ca/council-minutes,https://www.deseronto.ca/council-minutes,https://www.deseronto.ca/council-agenda,https://www.deseronto.ca/s/Minutes-November-22-2023.pdf,2026-05-28,https://www.deseronto.ca/events/2025/12/10/planning-meeting-wednesday-december-10-2025,2025-12-10,PDF,HTML,Squarespace site,,,,,,,
DORION TP,DORION TP,Lower,custom_html_pdf,https://doriontownship.ca/township/council/agendas-minutes,https://doriontownship.ca/township/council/agendas-minutes,https://doriontownship.ca/township/council/agendas-minutes,https://doriontownship.ca/application/files/4517/6460/6066/AGENDA_-18-NOVEMBER-2025.pdf,2026-05-28,,,PDF,,File list requires JS,,,,,,,
DOURO DUMMER TP,DOURO DUMMER TP,Lower,escribe,https://pub-douro-dummer.escribemeetings.com/,https://pub-douro-dummer.escribemeetings.com/,https://pub-douro-dummer.escribemeetings.com/,https://pub-douro-dummer.escribemeetings.com/FileStream.ashx?DocumentId=23159,2026-06-01,https://pub-douro-dummer.escribemeetings.com/Meeting.aspx?Id=67f60084-6309-4657-be75-6bf0da3d7d60,2025-12-16,PDF,HTML,eSCRIBE portal; JS required,,,,,,,
DRUMMOND NORTH ELMSLEY TP,DRUMMOND NORTH ELMSLEY TP,Lower,custom_html_pdf,https://dnetownship.ca/township-services/council/council-and-committee-calendar,https://drummondnorthelmsley.civicweb.net/Portal/,https://dnetownship.ca/township-services/council/council-and-committee-calendar,https://drummondnorthelmsley.civicweb.net/filepro/document/66105/26-01-13 - Committee of the Whole Minutes (1).pdf,2026-05-28,,,2024-08-27,,HTML,Joomla calendar,,,,,,
DRYDEN C,DRYDEN C,Lower,escribe,https://pub-dryden.escribemeetings.com/,https://www.dryden.ca/your-government/council-mayor/council-meetings/,https://pub-dryden.escribemeetings.com/,https://www.dryden.ca/media/fpnhiefz/closed-meeting-investigator-report-october-2018.pdf,2026-05-28,,,HTML,eSCRIBE portal; JS required,,,,,,,,
DUBREUILVILLE TP,DUBREUILVILLE TP,Lower,custom_html_pdf,https://dubreuilville.ca/town-hall/mayor-council/municipal-council-meeting-agendas-minutes/,https://dubreuilville.ca/township/agendas-and-minutes/,https://dubreuilville.ca/town-hall/mayor-council/municipal-council-meeting-agendas-minutes/,https://dubreuilville.ca/wp-content/uploads/2026/05/2026-04-09-Minutes.pdf,2026-05-28,,,PDF,,,,,,,,,
DUTTON DUNWICH M,DUTTON DUNWICH M,Lower,custom_html_pdf,https://www.duttondunwich.on.ca/municipal-services/council-committee-calendar-agendas-minutes,https://www.duttondunwich.on.ca/your-government/council-committee-calendar,https://www.duttondunwich.on.ca/municipal-services/council-committee-calendar-agendas-minutes,https://www.duttondunwich.on.ca/public/download/files/270264,2026-05-28,,,,HTML,,,,,,,,
DYSART ET AL M,DYSART ET AL M,Lower,civicweb,https://dysartetal.civicweb.net/portal/,https://www.dysartetal.ca/municipal-government/council/,https://dysartetal.civicweb.net/portal/,https://www.dysartetal.ca/media/0qyfgihg/wardmap.pdf,2026-05-28,,,,HTML,iCompass/CivicWeb; JS required,,,,,,,
EAR FALLS TP,EAR FALLS TP,Lower,custom_html_pdf,https://ear-falls.com/residents/council-agendas-and-minutes/,https://ear-falls.com/residents/council-agendas-and-minutes/,https://ear-falls.com/residents/council-agendas-and-minutes/,https://ear-falls.com/wp-content/uploads/2026/05/May-20-2026-Agenda-Proposed-Motions.pdf,2026-05-28,https://ear-falls.com/resources/november-19-2025-regular-meeting-of-council/,2025-11-19,PDF,HTML,,,,,,,,
EAST FERRIS M,EAST FERRIS M,Lower,escribe,https://pub-eastferris.escribemeetings.com/,https://stclair.civicweb.net/Portal/,https://pub-eastferris.escribemeetings.com/,https://stclair.civicweb.net/Portal/,2025-11-12,https://pub-eastferris.escribemeetings.com/Meeting.aspx?Id=8d00ec82-850e-4617-aea1-31a62eee5367,2025-11-25,PDF,HTML,,,,,,,,
EAST GARAFRAXA TP,EAST GARAFRAXA TP,Lower,custom_html_pdf,https://calendar.eastgarafraxa.ca/council,https://stclair.civicweb.net/Portal/,https://calendar.eastgarafraxa.ca/council,https://stclair.civicweb.net/Portal/,,,,HTML,HTML,Calendar portal; PDFs hosted within events,,,,,,,
EAST GWILLIMBURY TP,EAST GWILLIMBURY TP,Lower,civicweb,https://eastgwillimbury.civicweb.net/Portal/,https://www.eastgwillimbury.ca/en/living-in-eg/newresidents.aspx,https://eastgwillimbury.civicweb.net/Portal/,https://www.eastgwillimbury.ca/en/By-law-and-Parking/Boulevard-Bylaw-By-Law-2016-119.pdf,2026-05-28,https://eastgwillimbury.civicweb.net/filepro/documents/199757,2025-12-16,PDF,HTML,,,,,,,,
EAST HAWKESBURY TP,EAST HAWKESBURY TP,Lower,custom_html_pdf,https://www.easthawkesbury.ca/en/township-hall/council-and-council-meetings/agendas-minutes-and-videos/,https://stclair.civicweb.net/Portal/,https://www.easthawkesbury.ca/en/township-hall/council-and-council-meetings/agendas-minutes-and-videos/,https://stclair.civicweb.net/Portal/,,,,HTML,HTML,JS required; uses embedded eSolutions or similar filter,,,,,,,
EAST ZORRA TAVISTOCK TP,EAST ZORRA TAVISTOCK TP,Lower,escribe,https://pub-ezt.escribemeetings.com/,https://www.zorra.ca/our-township/council/council-meetings/,https://pub-ezt.escribemeetings.com/,https://www.zorra.ca/assets/documents/Special-Council-10-May-2022-Agenda-Pdf.pdf,2026-05-28,https://pub-ezt.escribemeetings.com/Meeting.aspx?Id=8d00ec82-850e-4617-aea1-31a62eee5367,2025-02-05,PDF,HTML,,,,,,,,
EDWARDSBURGH CARDINAL TP,EDWARDSBURGH CARDINAL TP,Lower,escribe,https://pub-twpec.escribemeetings.com/,https://pub-twpec.escribemeetings.com/,https://pub-twpec.escribemeetings.com/,https://pub-twpec.escribemeetings.com:443/FileStream.ashx?DocumentId=21191,2026-05-28,,https://pub-twpec.escribemeetings.com/Meeting.aspx?Id=42da51c2-bf8d-4fe1-89da-7b4a8f006103,2024-07-22,PDF,HTML,,,,,,,
ELIZABETHTOWN KITLEY TP,ELIZABETHTOWN KITLEY TP,Lower,civicweb,https://elizabethtownkitley.civicweb.net/Portal/,https://elizabethtownkitley.civicweb.net/Portal/,https://elizabethtownkitley.civicweb.net/Portal/,https://elizabethtownkitley.civicweb.net/filepro/documents/3505,2026-05-12,,,PDF,HTML,,,,,,,,
ELLIOT LAKE C,ELLIOT LAKE C,Lower,escribe,https://pub-elliotlake.escribemeetings.com/,https://www.elliotlake.ca/en/city-hall/agendas-and-minutes.aspx,https://pub-elliotlake.escribemeetings.com/,https://events.elliotlake.ca/council?_mid_=48276,2026-05-12,https://pub-elliotlake.escribemeetings.com/Meeting.aspx?Id=3221b9ed-15a6-46bf-a332-81cddf534c2e,2025-10-31,PDF,HTML,,,,,,,,
EMO TP,EMO TP,Lower,other_unknown,https://township-of-emo.community.highbond.com/Portal/,https://emo.ca/agendas-minutes/,https://township-of-emo.community.highbond.com/Portal/,https://emo.ca/wp-content/uploads/2025/06/11-June-11-2025-Regular-Council-Meeting-Agenda.pdf,2026-05-28,,,HTML,HTML,Diligent HighBond portal,,,,,,,
ENGLEHART TP,ENGLEHART TP,Lower,custom_html_pdf,https://www.englehart.ca/p/englehart-municipal-council,https://englehart.civicweb.net/Portal/,https://www.englehart.ca/p/englehart-municipal-council,https://englehart.civicweb.net/filepro/documents/35,2026-05-12,,,HTML,HTML,Documents listed as packages; no direct file links stable,,,,,,,
ENNISKILLEN TP,ENNISKILLEN TP,Lower,custom_html_pdf,https://www.enniskillen.ca/minutes-agendas/,https://www.enniskillen.ca/minutes-agendas/,https://www.enniskillen.ca/minutes-agendas/,https://www.enniskillen.ca/wp-content/uploads/2026/05/Agenda-Council-May-19-2026.pdf,2026-05-28,https://www.enniskillen.ca/wp-content/uploads/2025/12/Agenda-Council-December-15-2025.pdf,2025-12-15,PDF,PDF,,,,,,,,
ERIN TP,ERIN TP,Lower,escribe,https://pub-erin.escribemeetings.com/,https://pub-erin.escribemeetings.com/,https://pub-erin.escribemeetings.com/,https://pub-erin.escribemeetings.com/FileStream.ashx?DocumentId=18989,2026-05-25,https://pub-erin.escribemeetings.com/Meeting.aspx?Id=0e3924f5-7312-409e-9eb3-db6ef7e50e80,2025-12-11,PDF,HTML,,,,,,,,
ESPANOLA TP,ESPANOLA TP,Lower,escribe,https://pub-espanola.escribemeetings.com/,https://pub-espanola.escribemeetings.com/,https://pub-espanola.escribemeetings.com/,https://pub-espanola.escribemeetings.com/filestream.ashx?DocumentId=13816,2026-05-12,https://pub-espanola.escribemeetings.com/Meeting.aspx?Id=725f1078-0330-488d-bb1b-c9de2d39b28a,2025-05-27,PDF,HTML,,,,,,,,
ESSA TP,ESSA TP,Lower,custom_html_pdf,https://www.essatownship.on.ca/council-administration/agendas-and-minutes/,https://www.essatownship.on.ca/council-administration/agendas-and-minutes/,https://www.essatownship.on.ca/council-administration/agendas-and-minutes/agendas/,https://calendar.essatownship.on.ca/default/Download?StartDate=05/01/2026&EndDate=05/31/2026,2026-05-28,,,HTML,HTML,Manual lists; no portal detected,,,,,,,
ESSEX TP,ESSEX TP,Lower,escribe,https://townofessex-pub.escribemeetings.com/,https://townofessex-pub.escribemeetings.com/meetingscalendarview.aspx?Expanded=Regular+Council+Meeting,https://townofessex-pub.escribemeetings.com/,https://townofessex-pub.escribemeetings.com/FileStream.ashx?DocumentId=27914,2026-05-28,,https://townofessex-pub.escribemeetings.com/Meeting.aspx?Id=0e3924f5-7312-409e-9eb3-db6ef7e50e80,2025-11-17,PDF,HTML,,,,,,,
EVANTUREL TP,EVANTUREL TP,Lower,NOT_FOUND,https://evanturel.com/council,https://evanturel.com/council/minutes-agendas/,https://evanturel.com/council,https://evanturel.com/council/minutes-agendas/#mainContent,2026-05-12,,,HTML,HTML,Documents available upon request only,,,,,,,
FARADAY TP,FARADAY TP,Lower,civicweb,https://faraday.civicweb.net/Portal/,https://faraday.civicweb.net/Portal/,https://faraday.civicweb.net/Portal/,https://faraday.civicweb.net/filepro/documents/3669,2026-05-25,,,PDF,HTML,,,,,,,,
FAUQUIER STRICKLAND TP,FAUQUIER STRICKLAND TP,Lower,custom_html_pdf,https://www.fauquierstrickland.com/en/,https://stclair.civicweb.net/Portal/,https://www.fauquierstrickland.com/en/,https://stclair.civicweb.net/Portal/,,,,HTML,HTML,Limited online archives found,,,,,,,
FORT ERIE TP,FORT ERIE TP,Lower,escribe,https://pub-forterie.escribemeetings.com/,https://pub-forterie.escribemeetings.com/,https://pub-forterie.escribemeetings.com/,https://pub-forterie.escribemeetings.com/FileStream.ashx?DocumentId=35692,2026-05-28,https://pub-forterie.escribemeetings.com/Meeting.aspx?Id=f66a8f02-6370-474a-b314-d8ae19a1d29d,2025-12-15,PDF,HTML,,,,,,,,
FORT FRANCES TP,FORT FRANCES TP,Lower,civicweb,https://fortfrances.civicweb.net/Portal/,https://fortfrances.civicweb.net/Portal/,https://fortfrances.civicweb.net/Portal/,https://fortfrances.civicweb.net/filepro/documents/148095,2026-05-25,,,PDF,HTML,,,,,,,,
FRENCH RIVER M,FRENCH RIVER M,Lower,civicweb,https://frenchriver.civicweb.net/Portal/,https://frenchriver.ca/p/council-minutes-agendas,https://frenchriver.civicweb.net/Portal/,https://frenchriver.ca/p/council-minutes-agendas#downloadOurApp,2026-05-28,,,PDF,HTML,,,,,,,,
FRONT OF YONGE TP,FRONT OF YONGE TP,Lower,civicweb,https://mallorytown.civicweb.net/Portal/,https://zhidao.baidu.com/question/765412751504246844.html,https://mallorytown.civicweb.net/Portal/,https://zhidao.baidu.com/question/765412751504246844.html,,,,PDF,HTML,,,,,,,,
FRONTENAC ISLANDS TP,FRONTENAC ISLANDS TP,Lower,civicweb,https://frontenacislands.civicweb.net/Portal/,https://frontenac.civicweb.net/document/252758/,https://frontenacislands.civicweb.net/Portal/,https://frontenac.civicweb.net/FileStorage/60B9219B5EF1457E988EE5D7893B80D6-June%2012%20Meeting%20Minutes.pdf,2026-05-28,,,PDF,HTML,,,,,,,,
GANANOQUE TP,GANANOQUE TP,Lower,custom_html_pdf,https://www.gananoque.ca/town-hall/town-council/council-meetings,https://www.gananoque.ca/town-hall/town-council/council-meetings,https://www.gananoque.ca/town-hall/town-council/council-meetings,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/agendas/Agenda-Council-16-With Paperclip-10Jun2026-Special.pdf,2026-05-28,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/agendas/Agenda-Council-24-With%20Paperclips-07Nov2023.pdf,2023-11-07,PDF,PDF,,,,,,,,
GAUTHIER TP,GAUTHIER TP,Lower,NOT_FOUND,,https://www.gauthierchrysler.com/,,https://www.gauthierchrysler.com/GAUTHIER-2023-FORCED-LABOUR-AND-CHILD-LABOUR.pdf,2026-05-28,,2025-12-16,,,No official website found,,,,,,,
GEORGIAN BAY TP,Georgian Bay,Lower,civicweb,https://georgianbay.civicweb.net/Portal/,https://georgianbay.civicweb.net/Portal/MeetingTypeList.aspx,https://georgianbay.civicweb.net/Portal/MeetingTypeList.aspx,https://georgianbay.civicweb.net/filepro/documents,2026-05-26,https://georgianbay.civicweb.net/Portal/MeetingInformation.aspx?Id=1285,2025-12-18,PDF,HTML,"CivicWeb portal; ""Council Connects"" summaries available. Recent focus on firearm bylaws.",,,,,,,
GEORGIAN BLUFFS TP,Georgian Bluffs,Lower,escribe,https://pub-georgianbluffs.escribemeetings.com/,https://pub-georgianbluffs.escribemeetings.com/,https://pub-georgianbluffs.escribemeetings.com/,https://pub-georgianbluffs.escribemeetings.com/,2026-06-03,https://pub-georgianbluffs.escribemeetings.com/Meeting.aspx?Id=e3f25118-b2ec-46a1-bba3-1ef18e4bd9bd,2025-12-15,PDF,HTML,eScribe; Video embedded. Dec 15 meeting on 2026 Budget (4.76% tax hike).,,,,,,,
GEORGINA T,Georgina,Lower,escribe,https://pub-georgina.escribemeetings.com/,https://www.georgina.ca/municipal-government/council-meetings/agendas-minutes-and-meetings,https://pub-georgina.escribemeetings.com/,https://www.georgina.ca/sites/default/files/2026-01/2026-council-meeting-calendar-jan2026.pdf,2026-05-28,https://pub-georgina.escribemeetings.com/Meeting.aspx?Id=60414442-dc5e-4e51-87cf-c3d307fe16aa,2025-12-02,HTML,HTML,eScribe; Conflict Registry available. Dec 2 Special Meeting for Budget.,,,,,,,
GILLIES TP,Gillies,Lower,custom_html_pdf,https://calendar.gilliestownship.com/meetings,https://www.gilliestownship.com/en/our-government/agendas-and-minutes.aspx,https://calendar.gilliestownship.com/meetings,https://www.gilliestownship.com/en/our-government/agendas-and-minutes.aspx,2025-11-10,https://calendar.gilliestownship.com/meetings/Detail/2025-12-15-1830-Regular-Council-Meeting-CANCELLED/4228dbbe-7f30-47a9-ae63-b3b101659c0b,2025-12-15,PDF,PDF,Custom Calendar (eSolutions). Dec 15 meeting cancelled. Voyent Alert system in use.,,,,,,,
GODERICH T,Goderich,Lower,escribe,https://pub-goderich.escribemeetings.com/,https://pub-goderich.escribemeetings.com/,https://pub-goderich.escribemeetings.com/,https://pub-goderich.escribemeetings.com/FileStream.ashx?DocumentId=61307,2026-05-25,https://pub-goderich.escribemeetings.com/Meeting.aspx?Id=8e20c015-df2a-477c-945e-8df1c5f2f5b4,2025-12-15,HTML,HTML,eScribe; Hybrid meetings. Dec 15 Special Council on 2026 Draft Fee By-Law.,,,,,,,
GORDON/BARRIE ISLAND M,Gordon/Barrie Island,Lower,custom_html_pdf,https://www.gordonbarrieisland.ca/government/agendas-and-minutes/,https://www.gordonbarrieisland.ca/government/agendas-and-minutes/,https://www.gordonbarrieisland.ca/government/agendas-and-minutes/,https://www.gordonbarrieisland.ca/app/download/20013243825/Agenda+July+8+2025.pdf?t=1779905332,2026-05-28,https://www.gordonbarrieisland.ca/government/agendas-and-minutes/,2025-12-02,PDF,PDF,Custom HTML. Manual PDF uploads. Strong opposition to Gore Bay annexation in late 2025.,,,,,,,
GORE BAY T,Gore Bay,Lower,civicweb,https://gorebay.civicweb.net/Portal/,https://www.gorebay.ca/our-government/council-and-council-meetings/,https://gorebay.civicweb.net/Portal/,https://www.gorebay.ca/media/wrnlrtue/town-of-gore-bays-strategic-plan-2022-2027.pdf,2026-05-28,https://gorebay.civicweb.net/Portal/MeetingInformation.aspx?Id=1452,2025-12-08,PDF,HTML,CivicWeb. Downtown Revitalization Project focus. Annexation discussions active.,,,,,,,
GRAND VALLEY T,Grand Valley,Lower,escribe,https://pub-townofgrandvalley.escribemeetings.com/,https://pub-townofgrandvalley.escribemeetings.com/Meeting.aspx?Id=29bfe516-52d3-4da8-92bb-a95fe9d7622a&Agenda=Agenda&lang=English,https://pub-townofgrandvalley.escribemeetings.com/,https://www.townofgrandvalley.ca/media/kj3jlfeb/2024-10-procedural-by-law.pdf,2026-05-28,https://pub-townofgrandvalley.escribemeetings.com/Meeting.aspx?Id=ba0624ab-a795-4594-ba5c-fa98e3db1334,2025-12-09,HTML,HTML,eScribe. Lameront/Sahm Drainage By-law and 2026 Budget Info Night (Nov 26).,,,,,,,
GRAVENHURST T,Gravenhurst,Lower,civicweb,https://gravenhurst.civicweb.net/Portal/,https://www.gravenhurst.ca/town-hall-council/mayor-and-council/,https://gravenhurst.civicweb.net/Portal/,https://www.gravenhurst.ca/media/ktpdg5it/follow-up-to-code-complaint-no-0120-may-14-2020.pdf,2026-05-28,https://gravenhurst.civicweb.net/Portal/MeetingInformation.aspx?Id=2451,2025-12-16,PDF,HTML,"CivicWeb. Integrated with ""Engage Gravenhurst"". Winter Parking By-law reinstated Dec 16.",,,,,,,
